full_name,community_vitality_score
Leox1024/homelab-ansible-ops,40.464758540418615
frankligy/pan_cancer_intracellular_antigen_atlas,23.082511498867255
Olshansk/rss-feeds,45.68959466704386
doms9/iptv,44.3011979467383
DanPeled/Synapse,34.24957812875748
dipi-unimore/mininet-gym,29.32955075903683
typegg-io/eggert-bot,8.561119216871473
nghiahsgs/iqair-dataset,31.916984768664307
Fzkuji/Ensemble-Hub,26.896061617183506
Phylmox/OpenBB-finance,30.315932029051144
Quivnex/blankly-finance,34.8781851319716
Raidensz/OTP-Bot-Telegram,45.502582596545054
Raidensz/NB-OTP-Bot-Telegram,40.83190748518675
tom-doerr/repo_posts,26.484174522133547
sexfrance/Spotify-ClientVersion,26.011726856354862
Krexind/quant-trading,36.71904860349096
Orinks/AccessiWeather,18.870230271036426
dr-schlange/nallely-midi,44.84826820777816
sciknoworg/YESciEval,30.983374044056326
Vulthen/myhhub-stock-quantitative,33.8013490321854
miladtahanian/V2RayScrapeByCountry,39.146319173483874
levispark/gen-playlist,23.801349032185403
vlad-ds/ai-trader-frontend,28.999285197358752
cm851228/my51228888,13.99928519735875
abusaeeidx/Yupptv-Playlist,13.022680034284525
wisebobo/clashNodes,1.0117268563548634
JERRYZFC/yxip_git_action,15.562395582294279
WulfgarW/homeassistant-pycupra,41.629590632652025
DeterminateSystems/flakehub-cache-action,8.399312614695688
100rabhsah/ai-news-aggregator,36.07966746600881
z562261070/Cailianpress-Feishu-Bot,6.959979207130553
machka-pasla/remnawave-tg-shop,51.50530754938614
T3stAcc/V2Ray,17.156795500570503
kmnhan/xarray-lmfit,32.948883749826706
thexnumb/thexwriteup,20.315932029051144
V2RayRoot/V2RayConfig,43.15098046842731
rango-cfs/NewCollector,8.541509420160672
Skillter/ProxyGather,42.781243077109444
Vanic24/VPN,26.411851187731276
maoist2009/HTTPS_IP_finder,27.667702730341993
redgreat/stepwong,31.735817038808452
DeterminateSystems/determinate-nix-action,24.162241823754215
tutw/platinsport-m3u-updater,2.621505112498446
stephansturges/Tator,34.929000351220424
WulfgarW/pycupra,25.158002074252536
TomoeMami/S1PlainTextArchive2025,23.79463463423712
SECTL/SecRandom,48.2161722476199
cs3306/IPTV-Sources,27.488687287517468
PaulH97/Sen12Landslides,27.9728977169697
cyh92/iptv-api3,5.315932029051144
Zhalslar/astrbot_plugin_browser,19.33882051244143
redfree8/config-fetcher,13.302496976565461
cook369/proxy-collect,32.18485637809354
davxy/jam-conformance,41.538844783539055
MinZin100000/Project-0,1.0117268563548634
melogabriel/tinfoil-shops-status,38.593238084750794
anton-prosterity/documentation-search-mcp,23.157960731713572
vulnebify/cidre,37.2428461599102
soulripper13/hass-speedtest-ookla,26.77575422808803
arschlochnop/VulnWatchdog,37.548496777639606
Lokam-AI/lokamspace,18.240441453665866
usemanusai/CodeMAD,1.8167890081760023
ridwaanhall/ridwaanhall-com,34.98595270946396
ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,2.088562956141059
ASTRACAT2022/VPN-FREE-astra.net-V1,26.421120941135875
Oaklight/onehub_prices,29.268025705722525
namegenliang/fast-github-access,20.315932029051144
theriturajps/proxy-list,33.79463463423712
BuddyChewChew/localnow-playlist-generator,26.447274655525906
IsaacCheng9/order-book-simulator,33.10212129557806
uzumstanley/PHIDATA,42.579369397176606
jm-cook/mspa-homeassistant,37.37230917683212
dp-web4/Synchronism,22.594250462874548
arthur-ai/arthur-engine,49.36386630724825
cnpjpw/cnpjpw,30.670565316003298
Drakkar-Software/OctoBot-Market-Making,40.6748718017504
TheSmartDevs/SmartUtilBot,43.445545865666126
galaxyproject/galaxy-mcp,20.96534775123836
apprevenew-com/firebase-remote-config-python,16.77575422808803
ssmugabi/IDAPlugins,30.670565316003298
Gotti0/batch_translator_with_gemini_ko,26.411851187731276
teraha-dev/statsfm-to-markdown,27.3879896951328
kadirsener1/CanliTvListe,11.489061550789817
VIDA-NYU/UrbanMapper,32.09789010767652
andyjud/tiktok-clone,3.4452159982081896
the-bird-F/Expressive-Vectors,1.7757542280880305
sanderland/script_tok,36.56724702501098
jerome-benoit/freqai-strategies,37.49999209907892
Ofcremeo/PlateYOLO-JP-Prototype,26.011726856354862
marcosomma/orka-reasoning,49.840109152969504
Armaan29-09-2005/AI-OSINT-Security-Analyzer,30.983374044056326
Zayden-Cyber/Backdoor,36.051606588485775
corrupt0303/dating-agent,32.18485637809354
Aeron1-bit/PyWxDump,60.641414494014796
shashank2122/Local-Voice,39.55073477775086
luticuzokz53/real_estate_leadbot_public,30.315932029051144
ooyinet/WeClone,53.260135273706005
sorin177/ai-analyst-agent,37.10863940852457
TraceDesigns/MegaETH-Faucet,26.011726856354862
bensugursoy/Drone-Swarm-RL-airsim-sb3,30.315932029051144
Crezy-haker/videocutterAI,36.40623987543793
Willywillisonq24324/telegram-member-adder-scrapper,49.63762112818368
Yghan31/multi-tracking-YOLOv8-ByteTrack,26.421120941135875
Ahm-rgb/Alpha-SQL,30.315932029051144
racanreggo6v42/DDoS,47.06209751346207
techdomegh/ai-news-scraper,32.59425046287455
irfanbob26/AI-Chatbot,32.18485637809354
NayanMistry534/discord-raider-tool,45.170496559053035
Arman171/WebForensic,31.516316200413716
Mojo96666/hack-crypto-wallets,29.906537944270134
REVERSEDCD/jobspy-api,29.906537944270134
thinker84/Real-Time-stock-price-prediction-and-market-analysis-using-Machine-Learning,31.747401415789497
DennisDRX/Faraday-Web-Researcher-Agent,26.77575422808803
waelsultan28/youtube-shorts-automation,46.03672552278783
militarandroid/cybersecurity_hack,46.071104553312736
youmeat6678/Instagram-Hashtag-Scraper,32.1567955005705
benkhelifamohamedtaher/speech-emotion-recognition,29.30420517269628
Creature-112/gemini-live,37.50320660169777
incno/WhatsApp-Spam-Bot,29.971647187701464
hoangtuanhehehehhe/AgentVault,25.764027371733167
omerso901/HRMedSeg,22.52978256380581
SHANMUGAM070106/cursor-free-vip,57.042574046269856
luwhano/fastapi-langgraph-agent-production-ready-template,37.49411301697222
amad890/cloudflare-temp-mail,34.39940043197412
iniarfia/mcp-server-mas-sequential-thinking,23.19901626061155
riccorik/cursor-auto-icloud,25.223111317683866
kuroyaii/free-ip-stresser,44.606166726355866
AlejandroZaZ/cybersecurity-tools,32.387585758340826
Spac5y/Vocal-Agent,34.146275217897674
JbvrgtonYT/ollvm-unflattener,32.52978256380581
vrishank-cmd/Whatsapp-Bot,39.49952315655339
Oliveira3d/free-ip-stresser-booter,50.790874981094575
sammakumbe/burp-idor,25.0
inspirepan/klaude-code,23.423387078039045
mdtajnur22/kiss-slam,25.0
JoseAP02/Font-Downloader,25.409394084781013
kastalimohammed1965/CLIP-fine-tune-registers-gated,28.89481108791527
gorkaydemir/track_on,34.35063052311966
VOICEVOX/voicevox_vvm,27.365580547681873
camel52zhang/yxip,25.991436556059252
HuichuanLI/play-with-instruct-model,15.764027371733167
giuliomagnifico/raiplay-feed,25.06794060965394
xiaozhuABCD1234/AutoAnswer_zhihuishu,33.05502777334601
mkaflowski/Gemini-SRT-translator-GUI,24.74408966638539
xychcz/S3Fit,17.161715193888273
xxyzz/wiktionary_stardict,26.076836099786195
PuddinCat/OllamaSpider,33.416838706209916
chengliu97/ProDualNet,26.739179229964606
sparklost/endcord,47.006621501216785
maimengmeng/mysub,9.843063438690962
digitaldemocracy2030/polimoney,47.6359121770086
hengruiyun/AI-Stock-Master,53.79390465004461
huangusaki/PicLingo,17.250257556300372
apikusu/altstore,28.89481108791527
fansiphone/pachong-tom,10.850913722165988
OpenHUTB/nn,42.76666326778945
WwZzz/ILStudio,27.956027198528936
premiumcreativeuser/live_events_pu,8.553649547563708
Code-Science/Awesome-AI-Landscape,15.805062151821138
YangLang116/auto_gen,29.30420517269628
ErgoDevs/Ergo-Bounties,35.9740964338935
nodesfree/v2raynode,40.235897737259876
nodesfree/clashnode,37.06397478920323
nbshenxm/pentest-agent,45.11481618963897
w154594742/free-v2ray-node,31.728424561145005
United-Compute/gpu-price-tracker,24.228449229860185
Romihi/annotation_training_d2j,4.9065379442701325
onlyno999/streamlit.io,19.21421582755162
LRFP-Team/LRFP,50.433594462902995
HarishM-AIML-A-58/LeetCode_Daily,17.765897992825575
eddiehe99/xyzrank,45.434340255968706
Zhalslar/astrbot_plugin_reread,26.35831909906565
nightah/daddylive,17.009746803122322
KNR-PW/Dron_symulacja,8.59468432765168
Josh9456/IPTV-m3u,29.502814001378574
spincat/SmartProxyPipeline,15.0
Ice-001/wxvuln,36.15658073243796
cbcoutinho/nextcloud-mcp-server,53.494329754212444
hamedcode/port-based-v2ray-configs,45.096143406059696
Zhalslar/astrbot_plugin_relationship,27.612168212544386
946727185/auto-ip-update,32.08044320882806
silasary/apworlds,16.198170567936927
djdoolky76/UDPTV,18.89481108791527
Kai-One001/cve-,4.658838459648436
waterdisappear/ATRNet-STAR,43.818871358250675
OpenBuilders/access-tool,42.96099536907202
RogoLabs/CNAScoreCard,32.95878644529762
cavefire/Bose-Homeassistant,42.655592608528266
asukaneko/comic-downloader,34.39940043197412
DCjanus/prompts,5.7356745594346314
Bittu5134/ORV-Reader,60.69661306087299
junlangzi/Lottery-Predictor,28.539007921395996
krozgrov/ha-omlet-integration,28.327093656086568
JEEBIS27/Plover_Mejiro,11.29372884560965
nkapila6/mcp-local-rag,50.0016095030384
ClimenteA/social-media-posts-scheduler,37.43782957283168
spyboy-productions/ObfuXtreme,51.545151345295984
lizaifu2026/df,13.29421151988939
XargonWan/Synthetic_Heart,32.989170376276455
JoeGaffney/deferred-diffusion,29.30420517269628
Liiesl/EasyScanlate,44.53926082420586
umbertogriffo/fastapi-blueprint,29.658838459648436
DDSRem-Dev/MoviePilot-Plugins,48.860067888137806
hbin0701/Pred-Sent,22.133362381589734
nerdai/llm-agents-from-scratch,34.58526481262406
hbq0405/emby-toolkit,33.01251195992738
keta1930/mcp-agent-graph,53.59296323162921
cavefire/pybose,22.78962217583054
0610840119/iptv-api,33.40850601234111
dillfrescott/mvsep-beta,15.0
john-friedman/datamule-indicators,34.09453324220457
mkuthan/solis-cloud-control,42.56119638351443
yoyolicoris/philtorch,19.5952043357416
seud0nym/sigenergy2mqtt,27.47336887398424
Ethan-Men/8159-TV,24.84306343869096
whiteout-project/bot,44.13699232498573
Mifta24/auto-quotes,15.0
kingshot-project/Kingshot-Discord-Bot,34.348756618955655
RynoxPrime/SpotiFX,17.91769957130556
Yui007/bato_downloader,42.045625929678266
keekyslusus/SteamFlow,25.409394084781013
analyticsinmotion/werx,25.764027371733167
plsy1/epg,31.582523606519686
eliranwong/agentmake,40.42090617300333
leafyin/game-help-script,7.529782563805808
mapterhorn/mapterhorn,42.79819546872389
codelion/pts,46.246227315594155
hxabcd/easiauto,20.251464129982402
hackclub/nephthys,33.36664851422019
Elwinmage/ha-reefbeat-component,40.186926732526786
juspay/clairvoyance,43.250832393378744
carl0smat3us/undetected,15.409394084781011
MagiclabRobotics/magicbot-gen1_description,15.764027371733167
flyingbitac/fly_in_docker,1.8408634715193621
FBruzzesi/anyschema,29.37493644076279
hahahafeifeifei/PIGA,16.840863471519363
AnInsomniacy/tracknet-series-pytorch,25.204462583795262
ViStoryBench/vistorybench,42.71949788654861
jaimebarran/spotify-latest-episodes,21.173129521738673
ELXaber/chaos-persona,32.22190474400183
fishros/fprotocol,19.658838459648436
peternest/hh-inspect,26.076836099786195
wooluo/vuln_crawler,29.117922405599135
wooluo/watch0day,31.72864969039479
WeepingDogel/matrix-historian,17.60489084325253
HZBHZB1234/LCTA-Limbus-company-transfer-auto,15.0
john-friedman/datamule-data,26.648362132561807
adamprime/comiccaster,28.36388143231345
dsccccc/clashfree,16.076836099786195
NSPC911/rovr,53.89293278583696
V2RAYCONFIGSPOOL/V2RAY_SUB,30.60693119209646
ShamsParvezArka/fleury-theme.el,25.240176086215047
indmdev/Telegram-Store-MiniApp,34.83078200143404
peers-labs/peers-touch,21.747401415789497
dubefab/obsidian-TerraFlow,27.852590327874225
Nyabsi/OpenFps,32.55246356761064
ide-an/nijigta-livers-map,23.357179671933075
spydisec/spydithreatintel,37.08701139594835
xiaochanghai/eu.admin,26.216189440150124
juspay/neurolink,69.06527511249818
SeniorMatt/Matthew-s-NixOS,25.590135508401264
hatayama/uLoopMCP,46.5176003576333
cocopuff2u/BOFA,32.51142878752266
imrightguy/CloudToLocalLLM,43.682422683765
sayhiben/theblop,35.7654765749343
Yebingiscn/SweetVideo,40.41295543658156
ararog/deboa,43.25675303616394
rogsme/yams,40.90090867617642
vishnuroshan/zed-react-ts-snippets,41.2460724887072
mytv-android/BRTV-Live-M3U8,23.80257102036813
qljsyph/ruleset-icon,29.296793776306103
sinavm/sinavm,31.922168396704585
Kolandone/v2raycollector,25.635498105756483
DerDavidBohl/dirigent-spring,36.05797440168414
maccmsapp/iptv,27.488687287517468
InkCanvasForClass/community,53.794103513582115
galihru/MentalHealth,39.07954288725292
vmheaven/VMHeaven-Free-Proxy-Updated,36.63061069286543
RemiaCS/Window-Tweaks,32.51142878752266
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,39.27718397959529
AYssu/fast-scan,32.45472316292559
relizaio/rearm,44.047860222244594
galihru/facemind,40.97585064564967
xiv3r/top-github-users-ranking,26.78739012710692
sebastian-mutz/fsml,36.616438924992984
ToolerofLight/myfiles,8.997658972089864
galihru/galihru.github.io,17.621505112498447
markomijic/TTS-Mod-Vault,28.67235121661315
AyGemuy/wudyver,27.593382763825698
galihru/hbd,28.065168119215286
Its-Nyein/shadcn-admin,35.75355330132865
WaspScripts/WaspLib,32.56062319586911
imohammedh/Notevo,38.38229180175071
li1lli1/xuejimao-video-cut,26.17939204918529
The-AI-Alliance/llama-stack-examples,43.949263885504955
trio666/proxy-checker,28.44521599820819
iasakura/lean-yjs,34.447374622840826
smartscripts-nl/dynamic-xray,35.966547481201765
lonerOrz/loneros-nixos,28.065168119215286
poetaster/arduinoMI,30.544006995638977
RustNSparks/rocm-rs,14.62597741264543
anzhiyu-c/anheyu-app-frontend,31.948969774483988
NikhilRout/TheGEMMCoreProject,35.1025559493991
bzggnveee/There-is-nothing-here,10.854790295045827
Belphemur/night-routine,33.145089237944596
niksedk/subtitleedit-avalonia,25.811201930308922
prateekrajput08/Arcade-Google-Cloud-Labs,22.991631988829972
isw866/iptv,11.664976401807724
vlang/gui,40.12110400042306
gfpcom/free-proxy-list,52.78335532219875
wmigor/godot-aircraft-plugin,5.014305521762494
zzq1234567890/epg,15.735986118418786
Axthauvin/epitrace-packs,24.830782001434038
ivsemenkov/EEGSimpleNet,18.44521599820819
loonghao/vx,25.996561790310075
interp-reasoning/thought-anchors.com,25.102555949399097
DNATechByNaldoDJ/fw.webex,36.86650243007763
Kone457/Shizuka-AI,26.234838174038728
abusaeeidx/CricHd-playlists-Auto-Update-permanent,48.38954102939472
RavenHogWarts/obsidian-ace-code-editor,37.42747291502806
Sage-77/V2ray-configs,44.06450141906917
wsdjeg/nvim-config,25.753553301328648
hypervel/components,48.70427303646853
SukkaLab/ruleset.skk.moe,16.003450496439832
luo-ross/MultiVerseKit,22.207318785043825
FlavorfulGecko5/EntityAtlan,21.95997920713055
taolson/Admiran,32.95654906711607
xcontcom/xcontcom,33.58826488730885
Glaube-TY/siyuan-homepage,28.600946855098293
Rushikeshnimkar/portfolio2025,38.50583987332708
Iteranya/anita-cms,36.4472746555259
FLYCOM-E/ClearBox,24.393327039129993
chrisdoc/hevy-mcp,52.320724562545
tastetastetaste/musictaste,32.29136445584227
giantswarm/muster,37.082465532258766
96flashbacks/showfloor,38.34626527578213
theajmalrazaq/superflex,37.011760944534416
Cybermonit/RSS-Feed,21.478403529891985
klsdf/GreenResourcesManager,18.92942642766042
JAG-GW/GwAu3,17.407967695777405
sevcator/5ubscrpt10n,43.858079176895636
vfan/go-web-mvc,8.104054457856623
syrianzone/syrianzone,34.76449830537625
vonajs/vona,35.64170615016928
ohkami-rs/sqlx-d1,41.08663276202632
Yorick-Ryu/deep-share,40.613353337870734
RinLit-233-shiroko/Class-Widgets-2,37.72073887087234
santawho/oeffi-ng,36.17859119007398
eWloYW8/ZJU-classroom-stream,22.82423751557569
pkgforge-community/AM-HF-SYNC,20.24649310981436
