full_name,topic_innovation_score
Leox1024/homelab-ansible-ops,0.6343526887899079
frankligy/pan_cancer_intracellular_antigen_atlas,0.37769439109565384
Olshansk/rss-feeds,0.4904833360387687
doms9/iptv,0.5649528940098949
DanPeled/Synapse,0.5649548671535931
dipi-unimore/mininet-gym,0.5532654000924279
typegg-io/eggert-bot,0.37769439249581815
nghiahsgs/iqair-dataset,0.42769131691596585
Fzkuji/Ensemble-Hub,0.5004879144062583
Phylmox/OpenBB-finance,0.7595000000000001
Quivnex/blankly-finance,0.6990000000000001
Raidensz/OTP-Bot-Telegram,0.669
Raidensz/NB-OTP-Bot-Telegram,0.669
tom-doerr/repo_posts,0.37769439249581815
sexfrance/Spotify-ClientVersion,0.6890000000000001
Krexind/quant-trading,0.7280000000000001
Orinks/AccessiWeather,0.5610836289246703
dr-schlange/nallely-midi,0.6795
sciknoworg/YESciEval,0.623359001874701
Vulthen/myhhub-stock-quantitative,0.7190000000000001
miladtahanian/V2RayScrapeByCountry,0.6890000000000001
levispark/gen-playlist,0.4483620307435534
vlad-ds/ai-trader-frontend,0.4821498949468557
cm851228/my51228888,0.37769439249581815
abusaeeidx/Yupptv-Playlist,0.37769439249581815
wisebobo/clashNodes,0.37769439249581815
JERRYZFC/yxip_git_action,0.37769439249581815
WulfgarW/homeassistant-pycupra,0.5489044496932769
DeterminateSystems/flakehub-cache-action,0.37769439249581815
100rabhsah/ai-news-aggregator,0.7490000000000001
z562261070/Cailianpress-Feishu-Bot,0.37769439249581815
machka-pasla/remnawave-tg-shop,0.4483375649404734
T3stAcc/V2Ray,0.5743475672028034
kmnhan/xarray-lmfit,0.518397452423863
thexnumb/thexwriteup,0.679
V2RayRoot/V2RayConfig,0.5537502840114074
rango-cfs/NewCollector,0.37769439249581815
Skillter/ProxyGather,0.5388546779331063
Vanic24/VPN,0.44837116331407356
maoist2009/HTTPS_IP_finder,0.4983684775073022
redgreat/stepwong,0.3776943915261932
DeterminateSystems/determinate-nix-action,0.49049524833658575
tutw/platinsport-m3u-updater,0.37769439249581815
stephansturges/Tator,0.5204917273148462
WulfgarW/pycupra,0.6890000000000001
TomoeMami/S1PlainTextArchive2025,0.269
SECTL/SecRandom,0.3776670709862854
cs3306/IPTV-Sources,0.269
PaulH97/Sen12Landslides,0.4904890450497419
cyh92/iptv-api3,0.37769439249581815
Zhalslar/astrbot_plugin_browser,0.269
redfree8/config-fetcher,0.37769439249581815
cook369/proxy-collect,0.6620784116872801
davxy/jam-conformance,0.4483531745629621
MinZin100000/Project-0,0.37769439249581815
melogabriel/tinfoil-shops-status,0.669
anton-prosterity/documentation-search-mcp,0.5532568380612859
vulnebify/cidre,0.5599279096538631
soulripper13/hass-speedtest-ookla,0.669
arschlochnop/VulnWatchdog,0.49049513921363597
Lokam-AI/lokamspace,0.6291532401859193
usemanusai/CodeMAD,0.37769439249581815
ridwaanhall/ridwaanhall-com,0.7490000000000001
ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,0.37769439249581815
ASTRACAT2022/VPN-FREE-astra.net-V1,0.5820873074904682
Oaklight/onehub_prices,0.4276864200332635
namegenliang/fast-github-access,0.269
theriturajps/proxy-list,0.606596040591564
BuddyChewChew/localnow-playlist-generator,0.49048168797388036
IsaacCheng9/order-book-simulator,0.7290000000000001
uzumstanley/PHIDATA,0.6535998079022071
jm-cook/mspa-homeassistant,0.5743569128144181
dp-web4/Synchronism,0.5383063565085333
arthur-ai/arthur-engine,0.6294940557865955
cnpjpw/cnpjpw,0.4945390309251577
Drakkar-Software/OctoBot-Market-Making,0.5905700602842376
TheSmartDevs/SmartUtilBot,0.4710111087443204
galaxyproject/galaxy-mcp,0.37769439249581815
apprevenew-com/firebase-remote-config-python,0.42327872339439376
ssmugabi/IDAPlugins,0.6890000000000001
Gotti0/batch_translator_with_gemini_ko,0.5637600624496178
teraha-dev/statsfm-to-markdown,0.6990000000000001
kadirsener1/CanliTvListe,0.37769439249581815
VIDA-NYU/UrbanMapper,0.6795
andyjud/tiktok-clone,0.37769439249581815
the-bird-F/Expressive-Vectors,0.37769439249581815
sanderland/script_tok,0.5594941813572972
jerome-benoit/freqai-strategies,0.42769104123335666
Ofcremeo/PlateYOLO-JP-Prototype,0.7190000000000001
marcosomma/orka-reasoning,0.7490000000000001
Armaan29-09-2005/AI-OSINT-Security-Analyzer,0.7490000000000001
Zayden-Cyber/Backdoor,0.6506467527744645
corrupt0303/dating-agent,0.5913075561919331
Aeron1-bit/PyWxDump,0.42769439094854056
shashank2122/Local-Voice,0.7090000000000001
luticuzokz53/real_estate_leadbot_public,0.7190000000000001
ooyinet/WeClone,0.6990000000000001
sorin177/ai-analyst-agent,0.7490000000000001
TraceDesigns/MegaETH-Faucet,0.5736724197455597
bensugursoy/Drone-Swarm-RL-airsim-sb3,0.7490000000000001
Crezy-haker/videocutterAI,0.7490000000000001
Willywillisonq24324/telegram-member-adder-scrapper,0.669
Yghan31/multi-tracking-YOLOv8-ByteTrack,0.669
Ahm-rgb/Alpha-SQL,0.6795
racanreggo6v42/DDoS,0.679
techdomegh/ai-news-scraper,0.6672291139650214
irfanbob26/AI-Chatbot,0.6874949098101893
NayanMistry534/discord-raider-tool,0.7490000000000001
Arman171/WebForensic,0.7590000000000001
Mojo96666/hack-crypto-wallets,0.7730000000000001
REVERSEDCD/jobspy-api,0.5323184541232489
thinker84/Real-Time-stock-price-prediction-and-market-analysis-using-Machine-Learning,0.6990000000000001
DennisDRX/Faraday-Web-Researcher-Agent,0.7595000000000001
waelsultan28/youtube-shorts-automation,0.7490000000000001
militarandroid/cybersecurity_hack,0.7590000000000001
youmeat6678/Instagram-Hashtag-Scraper,0.6990000000000001
benkhelifamohamedtaher/speech-emotion-recognition,0.7290000000000001
Creature-112/gemini-live,0.7404473934249982
incno/WhatsApp-Spam-Bot,0.6182152945167882
hoangtuanhehehehhe/AgentVault,0.7490000000000001
omerso901/HRMedSeg,0.6345879622890417
SHANMUGAM070106/cursor-free-vip,0.6958186968380312
luwhano/fastapi-langgraph-agent-production-ready-template,0.7490000000000001
amad890/cloudflare-temp-mail,0.7490000000000001
iniarfia/mcp-server-mas-sequential-thinking,0.5710484338219645
riccorik/cursor-auto-icloud,0.5883057548572037
kuroyaii/free-ip-stresser,0.669
AlejandroZaZ/cybersecurity-tools,0.6995
Spac5y/Vocal-Agent,0.6414425398032391
JbvrgtonYT/ollvm-unflattener,0.669
vrishank-cmd/Whatsapp-Bot,0.5587493567740063
Oliveira3d/free-ip-stresser-booter,0.669
sammakumbe/burp-idor,0.7490000000000001
inspirepan/klaude-code,0.4904885885159792
mdtajnur22/kiss-slam,0.669
JoseAP02/Font-Downloader,0.669
kastalimohammed1965/CLIP-fine-tune-registers-gated,0.5743461962031063
gorkaydemir/track_on,0.7215
VOICEVOX/voicevox_vvm,0.269
camel52zhang/yxip,0.37769439249581815
HuichuanLI/play-with-instruct-model,0.3876943912128035
giuliomagnifico/raiplay-feed,0.5404913614397411
xiaozhuABCD1234/AutoAnswer_zhihuishu,0.540484290886571
mkaflowski/Gemini-SRT-translator-GUI,0.3836253862005955
xychcz/S3Fit,0.44836292162072056
xxyzz/wiktionary_stardict,0.3836184919350991
PuddinCat/OllamaSpider,0.3776864200332636
chengliu97/ProDualNet,0.553266933871729
sparklost/endcord,0.669
maimengmeng/mysub,0.37769439249581815
digitaldemocracy2030/polimoney,0.269
hengruiyun/AI-Stock-Master,0.6340407861410733
huangusaki/PicLingo,0.7190000000000001
apikusu/altstore,0.5583030408265325
fansiphone/pachong-tom,0.37769439249581815
OpenHUTB/nn,0.37769439249581815
WwZzz/ILStudio,0.44836247332490986
premiumcreativeuser/live_events_pu,0.37769439249581815
Code-Science/Awesome-AI-Landscape,0.540492323853587
YangLang116/auto_gen,0.5183940779332875
ErgoDevs/Ergo-Bounties,0.37769439190161636
nodesfree/v2raynode,0.48303679676520017
nodesfree/clashnode,0.6890000000000001
nbshenxm/pentest-agent,0.7
w154594742/free-v2ray-node,0.269
United-Compute/gpu-price-tracker,0.5079765273569685
Romihi/annotation_training_d2j,0.37769439249581815
onlyno999/streamlit.io,0.37769439249581815
LRFP-Team/LRFP,0.7190000000000001
HarishM-AIML-A-58/LeetCode_Daily,0.7190000000000001
eddiehe99/xyzrank,0.49047616830161733
Zhalslar/astrbot_plugin_reread,0.269
nightah/daddylive,0.37769439249581815
KNR-PW/Dron_symulacja,0.37769439249581815
Josh9456/IPTV-m3u,0.7190000000000001
spincat/SmartProxyPipeline,0.269
Ice-001/wxvuln,0.564953683246666
cbcoutinho/nextcloud-mcp-server,0.5743512846210079
hamedcode/port-based-v2ray-configs,0.669
Zhalslar/astrbot_plugin_relationship,0.319
946727185/auto-ip-update,0.269
silasary/apworlds,0.37769439249581815
djdoolky76/UDPTV,0.269
Kai-One001/cve-,0.37769439249581815
waterdisappear/ATRNet-STAR,0.7295
OpenBuilders/access-tool,0.669
RogoLabs/CNAScoreCard,0.5820757673243259
cavefire/Bose-Homeassistant,0.669
asukaneko/comic-downloader,0.44832369491161006
DCjanus/prompts,0.37769439249581815
Bittu5134/ORV-Reader,0.6795
junlangzi/Lottery-Predictor,0.269
krozgrov/ha-omlet-integration,0.669
JEEBIS27/Plover_Mejiro,0.37769439249581815
nkapila6/mcp-local-rag,0.669
ClimenteA/social-media-posts-scheduler,0.4440747965429407
spyboy-productions/ObfuXtreme,0.7330000000000001
lizaifu2026/df,0.37769439249581815
XargonWan/Synthetic_Heart,0.7490000000000001
JoeGaffney/deferred-diffusion,0.7490000000000001
Liiesl/EasyScanlate,0.6007426906223857
umbertogriffo/fastapi-blueprint,0.6748584789988379
DDSRem-Dev/MoviePilot-Plugins,0.269
hbin0701/Pred-Sent,0.4590564391173877
nerdai/llm-agents-from-scratch,0.513699080820343
hbq0405/emby-toolkit,0.37769439249581815
keta1930/mcp-agent-graph,0.5771200788626032
cavefire/pybose,0.5383132145051315
0610840119/iptv-api,0.7190000000000001
dillfrescott/mvsep-beta,0.5183862612310001
john-friedman/datamule-indicators,0.4483654105348288
mkuthan/solis-cloud-control,0.669
yoyolicoris/philtorch,0.5183895700108747
seud0nym/sigenergy2mqtt,0.4814619467939468
Ethan-Men/8159-TV,0.7190000000000001
whiteout-project/bot,0.5743520427630885
Mifta24/auto-quotes,0.49836609226192097
kingshot-project/Kingshot-Discord-Bot,0.49049383598855234
RynoxPrime/SpotiFX,0.5097628403632575
Yui007/bato_downloader,0.669
keekyslusus/SteamFlow,0.4165798272614043
analyticsinmotion/werx,0.683
plsy1/epg,0.5184018117964869
eliranwong/agentmake,0.7490000000000001
leafyin/game-help-script,0.37769439249581815
mapterhorn/mapterhorn,0.5683955279147228
codelion/pts,0.6990000000000001
hxabcd/easiauto,0.4483510324706377
hackclub/nephthys,0.38361074675136597
Elwinmage/ha-reefbeat-component,0.4562082304215537
juspay/clairvoyance,0.7190000000000001
carl0smat3us/undetected,0.4483597408817247
MagiclabRobotics/magicbot-gen1_description,0.269
flyingbitac/fly_in_docker,0.37769439249581815
FBruzzesi/anyschema,0.37768634583131466
hahahafeifeifei/PIGA,0.5183916145897648
AnInsomniacy/tracknet-series-pytorch,0.5743410029759537
ViStoryBench/vistorybench,0.7595000000000001
jaimebarran/spotify-latest-episodes,0.448365005154028
ELXaber/chaos-persona,0.7490000000000001
fishros/fprotocol,0.269
peternest/hh-inspect,0.4596486804151102
wooluo/vuln_crawler,0.269
wooluo/watch0day,0.269
WeepingDogel/matrix-historian,0.4483458687585917
HZBHZB1234/LCTA-Limbus-company-transfer-auto,0.269
john-friedman/datamule-data,0.4685703978160688
adamprime/comiccaster,0.49048816964677044
dsccccc/clashfree,0.319
NSPC911/rovr,0.648
V2RAYCONFIGSPOOL/V2RAY_SUB,0.683
ShamsParvezArka/fleury-theme.el,0.4476720377315394
indmdev/Telegram-Store-MiniApp,0.683
peers-labs/peers-touch,0.5044787125660155
dubefab/obsidian-TerraFlow,0.5789561245741093
Nyabsi/OpenFps,0.6460812066650184
ide-an/nijigta-livers-map,0.28300000000000003
spydisec/spydithreatintel,0.7030000000000001
xiaochanghai/eu.admin,0.5789589842095936
juspay/neurolink,0.7630000000000001
SeniorMatt/Matthew-s-NixOS,0.4623657887041316
hatayama/uLoopMCP,0.6017262972569243
cocopuff2u/BOFA,0.683
imrightguy/CloudToLocalLLM,0.7490000000000001
sayhiben/theblop,0.5465595781282755
Yebingiscn/SweetVideo,0.4623642067100969
ararog/deboa,0.789
rogsme/yams,0.683
vishnuroshan/zed-react-ts-snippets,0.683
mytv-android/BRTV-Live-M3U8,0.28300000000000003
qljsyph/ruleset-icon,0.28300000000000003
sinavm/sinavm,0.7030000000000001
Kolandone/v2raycollector,0.683
DerDavidBohl/dirigent-spring,0.7190000000000001
maccmsapp/iptv,0.39168689474426
InkCanvasForClass/community,0.5523034203191712
galihru/MentalHealth,0.7630000000000001
vmheaven/VMHeaven-Free-Proxy-Updated,0.683
RemiaCS/Window-Tweaks,0.7330000000000001
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,0.7230000000000001
AYssu/fast-scan,0.28300000000000003
relizaio/rearm,0.7490000000000001
galihru/facemind,0.7735000000000001
xiv3r/top-github-users-ranking,0.5544823899486948
sebastian-mutz/fsml,0.7630000000000001
ToolerofLight/myfiles,0.39169439249581806
galihru/galihru.github.io,0.5522983800181912
markomijic/TTS-Mod-Vault,0.5044843960927972
AyGemuy/wudyver,0.37769439249581815
galihru/hbd,0.6990000000000001
Its-Nyein/shadcn-admin,0.683
WaspScripts/WaspLib,0.46236223917280617
imohammedh/Notevo,0.7630000000000001
li1lli1/xuejimao-video-cut,0.28300000000000003
The-AI-Alliance/llama-stack-examples,0.5523061631133905
trio666/proxy-checker,0.683
iasakura/lean-yjs,0.5523052277376772
smartscripts-nl/dynamic-xray,0.683
lonerOrz/loneros-nixos,0.45344733441246166
poetaster/arduinoMI,0.46236169176360487
RustNSparks/rocm-rs,0.4336943924958181
anzhiyu-c/anheyu-app-frontend,0.28300000000000003
NikhilRout/TheGEMMCoreProject,0.5789556286035777
bzggnveee/There-is-nothing-here,0.39169439249581806
Belphemur/night-routine,0.683
niksedk/subtitleedit-avalonia,0.39169439249581806
prateekrajput08/Arcade-Google-Cloud-Labs,0.39169439249581806
isw866/iptv,0.39169439249581806
vlang/gui,0.4545759883857641
gfpcom/free-proxy-list,0.683
wmigor/godot-aircraft-plugin,0.39169439249581806
zzq1234567890/epg,0.39169439249581806
Axthauvin/epitrace-packs,0.4904944475076002
ivsemenkov/EEGSimpleNet,0.5123002894672667
loonghao/vx,0.5743949865720747
interp-reasoning/thought-anchors.com,0.46407898974918693
DNATechByNaldoDJ/fw.webex,0.5823933109961825
Kone457/Shizuka-AI,0.269
abusaeeidx/CricHd-playlists-Auto-Update-permanent,0.5643328934702865
RavenHogWarts/obsidian-ace-code-editor,0.5883433230542392
Sage-77/V2ray-configs,0.5739595735134955
wsdjeg/nvim-config,0.4623680488778322
hypervel/components,0.5044825148729921
SukkaLab/ruleset.skk.moe,0.39169439249581806
luo-ross/MultiVerseKit,0.39169439249581806
FlavorfulGecko5/EntityAtlan,0.5044848843215113
taolson/Admiran,0.683
xcontcom/xcontcom,0.5789591177724269
Glaube-TY/siyuan-homepage,0.5523078045641328
Rushikeshnimkar/portfolio2025,0.7630000000000001
Iteranya/anita-cms,0.5891387210135351
FLYCOM-E/ClearBox,0.6083506640700237
chrisdoc/hevy-mcp,0.7330000000000001
tastetastetaste/musictaste,0.5323904894835562
giantswarm/muster,0.666375454150639
96flashbacks/showfloor,0.44169438914652603
theajmalrazaq/superflex,0.4904889578055066
Cybermonit/RSS-Feed,0.43438993805718484
klsdf/GreenResourcesManager,0.28300000000000003
JAG-GW/GwAu3,0.39169439249581806
sevcator/5ubscrpt10n,0.669
vfan/go-web-mvc,0.39169439249581806
syrianzone/syrianzone,0.28300000000000003
vonajs/vona,0.6619999999999999
ohkami-rs/sqlx-d1,0.6443539627233335
Yorick-Ryu/deep-share,0.7190000000000001
RinLit-233-shiroko/Class-Widgets-2,0.3976266848846469
santawho/oeffi-ng,0.3836248732011206
eWloYW8/ZJU-classroom-stream,0.5883419198248815
pkgforge-community/AM-HF-SYNC,0.5523020955855158
sendmebits/ghostmail-ios,0.5314690509013428
spzbrnmrc/Tiny-Vedas,0.5044866973205846
Rink37/BOBJECT_engine,0.582392570369058
handeveloper1/Proxy,0.7630000000000001
